common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,weather_temp_c,weather_conditions,weather_summary,readable_filename,recording_id,datetime,hour
Black-legged Kittiwake,Rissa tridactyla,25818.0,25821.0,0.3200206458568573,Rissa tridactyla_Black-legged Kittiwake,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 07:10:18,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 07:10:18,7.0
Brambling,Fringilla montifringilla,32277.0,32280.0,0.6833499073982239,Fringilla montifringilla_Brambling,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:57:57,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:57:57,8.0
Canada Goose,Branta canadensis,35964.0,35967.0,0.4009804725646972,Branta canadensis_Canada Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:59:24,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:59:24,9.0
Carrion Crow,Corvus corone,27471.0,27474.0,0.7567083835601807,Corvus corone_Carrion Crow,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:37:51,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:37:51,7.0
Common Crane,Grus grus,29553.0,29556.0,0.5433263182640076,Grus grus_Common Crane,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 08:12:33,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 08:12:33,8.0
Common Grasshopper-Warbler,Locustella naevia,28815.0,28818.0,0.8865875601768494,Locustella naevia_Common Grasshopper-Warbler,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:00:15,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:00:15,8.0
Common Redpoll,Acanthis flammea,25866.0,25869.0,0.4733695387840271,Acanthis flammea_Common Redpoll,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 07:11:06,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 07:11:06,7.0
Common Scoter,Melanitta nigra,35697.0,35700.0,0.2773169577121734,Melanitta nigra_Common Scoter,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:54:57,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:54:57,9.0
Corn Crake,Crex crex,26580.0,26583.0,0.2719783782958984,Crex crex_Corn Crake,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:23:00,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:23:00,7.0
Dunnock,Prunella modularis,32583.0,32586.0,0.2847785055637359,Prunella modularis_Dunnock,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 09:03:03,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 09:03:03,9.0
Eurasian Blue Tit,Cyanistes caeruleus,28992.0,28995.0,0.7104076147079468,Cyanistes caeruleus_Eurasian Blue Tit,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:03:12,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:03:12,8.0
Eurasian Coot,Fulica atra,34899.0,34902.0,0.4015131294727325,Fulica atra_Eurasian Coot,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:41:39,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:41:39,9.0
Eurasian Magpie,Pica pica,33453.0,33456.0,0.3686254918575287,Pica pica_Eurasian Magpie,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:17:33,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:17:33,9.0
